timestamp,service,host,severity,message,environment
2026-06-18 10:00:00,inventory-service,prod-app-01,INFO,Connection timeout,production
2026-06-18 10:00:15,notification-service,prod-app-01,ERROR,Rollback initiated,production
2026-06-18 10:00:10,payment-api,prod-app-01,INFO,Deployment marked FAILED,production
2026-06-18 10:00:39,order-service,prod-app-03,ERROR,Deployment marked FAILED,production
2026-06-18 10:00:32,auth-service,prod-app-03,WARN,ImagePullBackOff,production
2026-06-18 10:00:55,inventory-service,prod-app-02,INFO,Cache miss rate increased,production
2026-06-18 10:00:36,payment-api,prod-app-02,INFO,Container terminated,production
2026-06-18 10:01:38,inventory-service,prod-app-01,ERROR,Restart policy activated,production
2026-06-18 10:01:28,payment-api,prod-app-03,WARN,Deployment marked FAILED,production
2026-06-18 10:02:06,order-service,prod-app-03,INFO,Pod restarted,production
2026-06-18 10:01:30,payment-api,prod-app-01,INFO,Latency increased,production
2026-06-18 10:02:12,inventory-service,prod-app-01,WARN,Container terminated,production
2026-06-18 10:03:00,inventory-service,prod-app-03,ERROR,Redis unavailable,production
2026-06-18 10:02:49,order-service,prod-app-01,WARN,Latency increased,production
2026-06-18 10:03:30,notification-service,prod-app-01,ERROR,Container terminated,production
2026-06-18 10:02:00,payment-api,prod-app-02,WARN,Migration failed due to timeout,production
2026-06-18 10:02:08,notification-service,prod-app-03,WARN,Connection timeout,production
2026-06-18 10:03:07,auth-service,prod-app-01,WARN,Registry authentication failed,production
2026-06-18 10:03:54,notification-service,prod-app-02,ERROR,Redis recovered,production
2026-06-18 10:04:26,auth-service,prod-app-02,INFO,Registry authentication failed,production
2026-06-18 10:02:00,payment-api,prod-app-01,INFO,Registry authentication failed,production
2026-06-18 10:04:54,payment-api,prod-app-02,WARN,Deployment failed,production
2026-06-18 10:04:46,inventory-service,prod-app-03,INFO,ImagePullBackOff,production
2026-06-18 10:05:45,inventory-service,prod-app-01,WARN,Restart policy activated,production
2026-06-18 10:04:48,payment-api,prod-app-03,ERROR,Switching to database reads,production
2026-06-18 10:05:25,payment-api,prod-app-03,WARN,Redis recovered,production
2026-06-18 10:03:02,inventory-service,prod-app-01,ERROR,Redis recovered,production
2026-06-18 10:06:18,inventory-service,prod-app-02,INFO,Database connection refused,production
2026-06-18 10:04:12,order-service,prod-app-01,INFO,Service recovered,production
2026-06-18 10:02:54,auth-service,prod-app-01,ERROR,Connection timeout,production
2026-06-18 10:07:30,auth-service,prod-app-03,INFO,Switching to database reads,production
2026-06-18 10:04:08,notification-service,prod-app-03,ERROR,Registry authentication failed,production
2026-06-18 10:05:52,inventory-service,prod-app-02,ERROR,Restart policy activated,production
2026-06-18 10:04:24,order-service,prod-app-01,WARN,Database connection refused,production
2026-06-18 10:07:56,order-service,prod-app-01,INFO,Redis unavailable,production
